,V11-force,V12-force,V13-force,V14-force,V15-force,V16-force,V17-force,V18-force,V19-force,V20-force,V21-force,V22-force,V23-force,V24-force,V25-force,V26-force,V27-force
97,0.0,0.118685,2.65861e-15,2.01612,1.27888e-14,0.350591,3.14325e-15,2.38011,1.18129e-14,0.375366,0.943425,0.355063,0.908359,0.355511,2.7997,0.377463,0.454277
98,0.0,0.1321565,1.04638e-15,2.06351,4.40201e-15,0.353384,4.05913e-15,2.43585,6.08539e-15,0.381077,0.948474,0.357016,0.881892,0.356513,2.87016,0.382061,0.451145
99,0.0,0.144096,2.262565e-15,2.12033,8.30219e-15,0.35451299999999997,8.6808e-15,2.51351,1.11484e-15,0.387257,0.9600105,0.359242,0.863176,0.358273,2.93817,0.386781,0.44203400000000004
100,0.0,0.141574,5.77486e-16,2.17972,6.52961e-15,0.349984,1.11477e-14,2.57644,4.2788500000000005e-15,0.391228,0.980563,0.362087,0.866614,0.360855,3.01093,0.391197,0.42021
101,0.0,0.147649,7.93719e-15,2.2271,4.660935e-15,0.362708,5.79164e-15,2.63891,5.89373e-15,0.394695,0.996504,0.365349,0.867446,0.365893,3.07716,0.394931,0.416983
102,0.0,0.170298,4.00153e-15,2.318545,2.74914e-15,0.35539149999999997,2.614685e-15,2.71526,1.23247e-14,0.3986235,1.02183,0.368868,0.884525,0.371551,3.1433,0.397847,0.42421949999999997
103,0.0,0.155883,4.26713e-15,2.43248,1.79379e-14,0.34937,9.31272e-15,2.78784,7.74758e-16,0.401294,1.04992,0.372571,0.918356,0.375505,3.20972,0.39991,0.419567
104,0.0,0.162157,2.86606e-15,2.53429,1.09627e-15,0.36287,6.54716e-15,2.8888049999999996,1.59182e-14,0.402424,1.09665,0.378019,0.951985,0.379365,3.3111550000000003,0.401321,0.41933
105,0.0,0.171536,9.79096e-15,2.64345,2.089997e-15,0.3572285,8.29013e-15,3.01017,3.00383e-15,0.40317,1.13924,0.382904,0.972933,0.382877,3.40679,0.40223,0.430276
106,0.0,0.159573,1.502165e-15,2.7303,1.22346e-14,0.358669,1.43462e-15,3.0739,1.01909e-14,0.403644,1.19332,0.385531,1.00083,0.38588,3.50712,0.40267,0.43750449999999996
107,0.0,0.173518,2.82329e-15,2.84832,9.87115e-15,0.368131,1.11155e-14,3.15635,1.12505e-14,0.403642,1.26325,0.387524,1.01076,0.388199,3.61356,0.402657,0.440429
108,0.0,0.179051,4.81799e-15,2.93576,6.75719e-15,0.358309,6.88105e-15,3.22809,1.12173e-14,0.403697,1.34304,0.388886,0.99261,0.389765,3.72641,0.402822,0.448556
109,0.0,0.177492,6.55362e-15,3.04156,5.003191e-15,0.37315149999999997,5.74399e-15,3.30507,1.98861e-14,0.403992,1.439555,0.389766,0.983929,0.390717,3.86407,0.403384,0.4508085
110,0.0,0.175521,5.30017e-16,3.211415,5.98699e-16,0.393307,5.31435e-15,3.40042,9.30715e-15,0.4053185,1.54376,0.390258,0.971233,0.391203,4.02217,0.404697,0.446473
111,0.0,0.192068,4.45356e-15,3.4058,1.53508e-14,0.381277,5.98351e-15,3.51266,2.02835e-15,0.407906,1.58957,0.390541,0.958397,0.391397,4.257479999999999,0.406921,0.444162
112,0.0,0.179405,8.08038e-15,3.4932,2.25818e-14,0.4031265,1.78737e-15,3.64422,1.28639e-15,0.410635,1.6212,0.39084,0.956474,0.391502,4.48595,0.409981,0.4418385
113,0.0,0.192276,8.622985000000001e-15,3.63188,1.14693e-14,0.426523,5.23119e-15,3.71155,2.13474e-15,0.413869,1.64441,0.391379,0.96694,0.391832,4.64073,0.413672,0.44235
114,0.0,0.196897,8.57541e-15,3.74154,4.49569e-15,0.467597,8.60686e-16,3.81093,5.81442e-15,0.4192815,1.66517,0.39236,0.974318,0.392601,4.77996,0.417742,0.439007
115,0.0,0.195515,3.09473e-16,3.84403,6.27932e-15,0.54752,1.41027e-15,3.89096,1.40437e-14,0.424725,1.69794,0.393879,1.02243,0.393902,4.92706,0.423865,0.44264349999999997
116,0.0,0.2050555,3.86956e-16,3.97089,2.59028e-15,0.618367,4.48491e-15,3.97301,2.12956e-15,0.428043,1.71576,0.396032,1.10494,0.395871,5.05688,0.429299,0.448026
117,0.0,0.217001,5.09994e-15,4.05271,7.028955e-15,0.663545,1.0208e-15,4.055,3.58338e-15,0.430932,1.72356,0.398759,1.20104,0.398531,5.18272,0.432145,0.444546
118,0.0,0.204504,2.75284e-15,4.249865,9.77822e-15,0.7331380000000001,5.59892e-10,4.192735,4.19441e-15,0.434186,1.75388,0.403493,1.30484,0.40343799999999996,5.318315,0.434136,0.4551005
